# Comprehensive URI-level SSSOM - ALL D4D Attributes
# Shows current and recommended slot_uri for every attribute
# Date: 2026-03-23T23:31:21.668782
# Total attributes: 268
#
# Status breakdown:
#   free_text: 54
#   mapped: 66
#   novel_d4d: 41
#   recommended: 69
#   unmapped: 38
#
# Current slot_uri coverage: 260/268 (97.0%)
# Attributes needing slot_uri: 6/268 (2.2%)
#
d4d_slot_name	d4d_slot_uri_current	subject_source	predicate_id	d4d_slot_uri_recommended	object_id	object_label	object_source	confidence	mapping_justification	comment	mapping_status	needs_slot_uri	vocab_crosswalk	author_id	mapping_date	mapping_set_id	mapping_set_version
data_linkage	d4d:dataLinkage	https://w3id.org/bridge2ai/data-sheets-schema/	semapv:UnmappedProperty					0.5	semapv:SuggestedMapping	Recommended slot_uri (confidence: low)	recommended	no	N/A	https://orcid.org/0000-0000-0000-0000	2026-03-23	d4d-rocrate-uri-comprehensive-v1	1.0
data_protection_impacts	d4d:dataProtectionImpacts	https://w3id.org/bridge2ai/data-sheets-schema/	skos:exactMatch	d4d:data_protection_impacts	d4d:data_protection_impacts	data_protection_impacts	https://w3id.org/bridge2ai/data-sheets-schema/	1.0	semapv:ManualMappingCuration	Novel D4D concept - should use d4d: namespace	novel_d4d	no	false	https://orcid.org/0000-0000-0000-0000	2026-03-23	d4d-rocrate-uri-comprehensive-v1	1.0
data_substrate	dcterms:format	http://purl.org/dc/terms/	semapv:UnmappedProperty					0.0	semapv:RequiresResearch	Unmapped - needs vocabulary research for slot_uri	unmapped	no	N/A	https://orcid.org/0000-0000-0000-0000	2026-03-23	d4d-rocrate-uri-comprehensive-v1	1.0
data_topic	dcat:theme	https://www.w3.org/ns/dcat#	semapv:UnmappedProperty					0.0	semapv:RequiresResearch	Unmapped - needs vocabulary research for slot_uri	unmapped	no	N/A	https://orcid.org/0000-0000-0000-0000	2026-03-23	d4d-rocrate-uri-comprehensive-v1	1.0
data_type	schema:DataType	https://schema.org/	semapv:UnmappedProperty					0.0	semapv:RequiresResearch	Unmapped - needs vocabulary research for slot_uri	unmapped	no	N/A	https://orcid.org/0000-0000-0000-0000	2026-03-23	d4d-rocrate-uri-comprehensive-v1	1.0
data_use_permission	DUO:0000001	unknown	semapv:UnmappedProperty					0.0	semapv:RequiresResearch	Unmapped - needs vocabulary research for slot_uri	unmapped	no	N/A	https://orcid.org/0000-0000-0000-0000	2026-03-23	d4d-rocrate-uri-comprehensive-v1	1.0
deidentification_details	dcterms:description	http://purl.org/dc/terms/	semapv:UnmappableProperty					0.0	semapv:FreeTextProperty	Free text/narrative field - no slot_uri needed	free_text	no	N/A	https://orcid.org/0000-0000-0000-0000	2026-03-23	d4d-rocrate-uri-comprehensive-v1	1.0
delimiter			semapv:UnmappedProperty					0.5	semapv:SuggestedMapping	Recommended slot_uri (confidence: low)	recommended	yes	N/A	https://orcid.org/0000-0000-0000-0000	2026-03-23	d4d-rocrate-uri-comprehensive-v1	1.0
derivation	dcterms:provenance	http://purl.org/dc/terms/	semapv:UnmappableProperty					0.0	semapv:FreeTextProperty	Free text/narrative field - no slot_uri needed	free_text	no	N/A	https://orcid.org/0000-0000-0000-0000	2026-03-23	d4d-rocrate-uri-comprehensive-v1	1.0
description	schema:description	https://schema.org/	semapv:UnmappableProperty					0.0	semapv:FreeTextProperty	Free text/narrative field - no slot_uri needed	free_text	no	N/A	https://orcid.org/0000-0000-0000-0000	2026-03-23	d4d-rocrate-uri-comprehensive-v1	1.0
dialect	schema:encodingFormat	https://schema.org/	skos:closeMatch	schema:encodingFormat	schema:encodingFormat	encodingFormat	https://schema.org/	0.9	semapv:ManualMappingCuration	Has SKOS alignment to RO-Crate vocabulary	mapped	no	false	https://orcid.org/0000-0000-0000-0000	2026-03-23	d4d-rocrate-uri-comprehensive-v1	1.0
disagreement_patterns	d4d:disagreementPatterns	https://w3id.org/bridge2ai/data-sheets-schema/	semapv:UnmappedProperty					0.5	semapv:SuggestedMapping	Recommended slot_uri (confidence: low)	recommended	no	N/A	https://orcid.org/0000-0000-0000-0000	2026-03-23	d4d-rocrate-uri-comprehensive-v1	1.0
discouraged_uses	d4d:discouragedUses	https://w3id.org/bridge2ai/data-sheets-schema/	skos:exactMatch	rai:prohibitedUses	rai:prohibitedUses	prohibitedUses	http://mlcommons.org/croissant/RAI/	1.0	semapv:ManualMappingCuration	Has SKOS alignment to RO-Crate vocabulary	mapped	no	true	https://orcid.org/0000-0000-0000-0000	2026-03-23	d4d-rocrate-uri-comprehensive-v1	1.0
discouragement_details	dcterms:description	http://purl.org/dc/terms/	semapv:UnmappableProperty					0.0	semapv:FreeTextProperty	Free text/narrative field - no slot_uri needed	free_text	no	N/A	https://orcid.org/0000-0000-0000-0000	2026-03-23	d4d-rocrate-uri-comprehensive-v1	1.0
distribution	dcterms:description	http://purl.org/dc/terms/	semapv:UnmappedProperty					0.0	semapv:RequiresResearch	Unmapped - needs vocabulary research for slot_uri	unmapped	no	N/A	https://orcid.org/0000-0000-0000-0000	2026-03-23	d4d-rocrate-uri-comprehensive-v1	1.0
