# d4d_module: D4D schema module containing this attribute
#
subject_id	subject_label	subject_category	d4d_module	predicate_id	object_id	object_label	mapping_justification	confidence	subject_source	object_source	subject_type	subject_multivalued	object_type	type_compatible	composition_path	structural_notes	warnings	d4d_module
d4d:MachineAnnotationTools/name	name	MachineAnnotationTools	D4D_Preprocessing	skos:exactMatch	name	name	semapv:StructuralMapping	1.0	d4d:data_sheets_schema	rocrate:fairscape	string	False	str	True		Mapped via DatasetProperty hierarchy from MachineAnnotationTools		D4D_Preprocessing
d4d:MachineAnnotationTools/description	description	MachineAnnotationTools	D4D_Preprocessing	skos:exactMatch	description	description	semapv:StructuralMapping	1.0	d4d:data_sheets_schema	rocrate:fairscape	string	False	str	True		Mapped via DatasetProperty hierarchy from MachineAnnotationTools		D4D_Preprocessing
d4d:ExistingUse/name	name	ExistingUse	D4D_Uses	skos:exactMatch	name	name	semapv:StructuralMapping	1.0	d4d:data_sheets_schema	rocrate:fairscape	string	False	str	True		Mapped via DatasetProperty hierarchy from ExistingUse		D4D_Uses
d4d:ExistingUse/description	description	ExistingUse	D4D_Uses	skos:exactMatch	description	description	semapv:StructuralMapping	1.0	d4d:data_sheets_schema	rocrate:fairscape	string	False	str	True		Mapped via DatasetProperty hierarchy from ExistingUse		D4D_Uses
d4d:UseRepository/name	name	UseRepository	D4D_Uses	skos:exactMatch	name	name	semapv:StructuralMapping	1.0	d4d:data_sheets_schema	rocrate:fairscape	string	False	str	True		Mapped via DatasetProperty hierarchy from UseRepository		D4D_Uses
d4d:UseRepository/description	description	UseRepository	D4D_Uses	skos:exactMatch	description	description	semapv:StructuralMapping	1.0	d4d:data_sheets_schema	rocrate:fairscape	string	False	str	True		Mapped via DatasetProperty hierarchy from UseRepository		D4D_Uses
d4d:OtherTask/name	name	OtherTask	D4D_Uses	skos:exactMatch	name	name	semapv:StructuralMapping	1.0	d4d:data_sheets_schema	rocrate:fairscape	string	False	str	True		Mapped via DatasetProperty hierarchy from OtherTask		D4D_Uses
d4d:OtherTask/description	description	OtherTask	D4D_Uses	skos:exactMatch	description	description	semapv:StructuralMapping	1.0	d4d:data_sheets_schema	rocrate:fairscape	string	False	str	True		Mapped via DatasetProperty hierarchy from OtherTask		D4D_Uses
d4d:FutureUseImpact/name	name	FutureUseImpact	D4D_Uses	skos:exactMatch	name	name	semapv:StructuralMapping	1.0	d4d:data_sheets_schema	rocrate:fairscape	string	False	str	True		Mapped via DatasetProperty hierarchy from FutureUseImpact		D4D_Uses
d4d:FutureUseImpact/description	description	FutureUseImpact	D4D_Uses	skos:exactMatch	description	description	semapv:StructuralMapping	1.0	d4d:data_sheets_schema	rocrate:fairscape	string	False	str	True		Mapped via DatasetProperty hierarchy from FutureUseImpact		D4D_Uses
d4d:DiscouragedUse/name	name	DiscouragedUse	D4D_Uses	skos:exactMatch	name	name	semapv:StructuralMapping	1.0	d4d:data_sheets_schema	rocrate:fairscape	string	False	str	True		Mapped via DatasetProperty hierarchy from DiscouragedUse		D4D_Uses
d4d:DiscouragedUse/description	description	DiscouragedUse	D4D_Uses	skos:exactMatch	description	description	semapv:StructuralMapping	1.0	d4d:data_sheets_schema	rocrate:fairscape	string	False	str	True		Mapped via DatasetProperty hierarchy from DiscouragedUse		D4D_Uses
d4d:IntendedUse/name	name	IntendedUse	D4D_Uses	skos:exactMatch	name	name	semapv:StructuralMapping	1.0	d4d:data_sheets_schema	rocrate:fairscape	string	False	str	True		Mapped via DatasetProperty hierarchy from IntendedUse		D4D_Uses
d4d:IntendedUse/description	description	IntendedUse	D4D_Uses	skos:exactMatch	description	description	semapv:StructuralMapping	1.0	d4d:data_sheets_schema	rocrate:fairscape	string	False	str	True		Mapped via DatasetProperty hierarchy from IntendedUse		D4D_Uses
d4d:ProhibitedUse/name	name	ProhibitedUse	D4D_Uses	skos:exactMatch	name	name	semapv:StructuralMapping	1.0	d4d:data_sheets_schema	rocrate:fairscape	string	False	str	True		Mapped via DatasetProperty hierarchy from ProhibitedUse		D4D_Uses
d4d:ProhibitedUse/description	description	ProhibitedUse	D4D_Uses	skos:exactMatch	description	description	semapv:StructuralMapping	1.0	d4d:data_sheets_schema	rocrate:fairscape	string	False	str	True		Mapped via DatasetProperty hierarchy from ProhibitedUse		D4D_Uses
d4d:ThirdPartySharing/name	name	ThirdPartySharing	D4D_Distribution	skos:exactMatch	name	name	semapv:StructuralMapping	1.0	d4d:data_sheets_schema	rocrate:fairscape	string	False	str	True		Mapped via DatasetProperty hierarchy from ThirdPartySharing		D4D_Distribution
d4d:ThirdPartySharing/description	description	ThirdPartySharing	D4D_Distribution	skos:exactMatch	description	description	semapv:StructuralMapping	1.0	d4d:data_sheets_schema	rocrate:fairscape	string	False	str	True		Mapped via DatasetProperty hierarchy from ThirdPartySharing		D4D_Distribution
d4d:DistributionFormat/name	name	DistributionFormat	D4D_Distribution	skos:exactMatch	name	name	semapv:StructuralMapping	1.0	d4d:data_sheets_schema	rocrate:fairscape	string	False	str	True		Mapped via DatasetProperty hierarchy from DistributionFormat		D4D_Distribution
d4d:DistributionFormat/description	description	DistributionFormat	D4D_Distribution	skos:exactMatch	description	description	semapv:StructuralMapping	1.0	d4d:data_sheets_schema	rocrate:fairscape	string	False	str	True		Mapped via DatasetProperty hierarchy from DistributionFormat		D4D_Distribution
d4d:DistributionDate/name	name	DistributionDate	D4D_Distribution	skos:exactMatch	name	name	semapv:StructuralMapping	1.0	d4d:data_sheets_schema	rocrate:fairscape	string	False	str	True		Mapped via DatasetProperty hierarchy from DistributionDate		D4D_Distribution
d4d:DistributionDate/description	description	DistributionDate	D4D_Distribution	skos:exactMatch	description	description	semapv:StructuralMapping	1.0	d4d:data_sheets_schema	rocrate:fairscape	string	False	str	True		Mapped via DatasetProperty hierarchy from DistributionDate		D4D_Distribution
d4d:Maintainer/name	name	Maintainer	D4D_Maintenance	skos:exactMatch	name	name	semapv:StructuralMapping	1.0	d4d:data_sheets_schema	rocrate:fairscape	string	False	str	True		Mapped via DatasetProperty hierarchy from Maintainer		D4D_Maintenance
d4d:Maintainer/description	description	Maintainer	D4D_Maintenance	skos:exactMatch	description	description	semapv:StructuralMapping	1.0	d4d:data_sheets_schema	rocrate:fairscape	string	False	str	True		Mapped via DatasetProperty hierarchy from Maintainer		D4D_Maintenance
d4d:Erratum/name	name	Erratum	D4D_Maintenance	skos:exactMatch	name	name	semapv:StructuralMapping	1.0	d4d:data_sheets_schema	rocrate:fairscape	string	False	str	True		Mapped via DatasetProperty hierarchy from Erratum		D4D_Maintenance
d4d:Erratum/description	description	Erratum	D4D_Maintenance	skos:exactMatch	description	description	semapv:StructuralMapping	1.0	d4d:data_sheets_schema	rocrate:fairscape	string	False	str	True		Mapped via DatasetProperty hierarchy from Erratum		D4D_Maintenance
d4d:UpdatePlan/name	name	UpdatePlan	D4D_Maintenance	skos:exactMatch	name	name	semapv:StructuralMapping	1.0	d4d:data_sheets_schema	rocrate:fairscape	string	False	str	True		Mapped via DatasetProperty hierarchy from UpdatePlan		D4D_Maintenance
d4d:UpdatePlan/description	description	UpdatePlan	D4D_Maintenance	skos:exactMatch	description	description	semapv:StructuralMapping	1.0	d4d:data_sheets_schema	rocrate:fairscape	string	False	str	True		Mapped via DatasetProperty hierarchy from UpdatePlan		D4D_Maintenance
d4d:RetentionLimits/name	name	RetentionLimits	D4D_Maintenance	skos:exactMatch	name	name	semapv:StructuralMapping	1.0	d4d:data_sheets_schema	rocrate:fairscape	string	False	str	True		Mapped via DatasetProperty hierarchy from RetentionLimits		D4D_Maintenance
d4d:RetentionLimits/description	description	RetentionLimits	D4D_Maintenance	skos:exactMatch	description	description	semapv:StructuralMapping	1.0	d4d:data_sheets_schema	rocrate:fairscape	string	False	str	True		Mapped via DatasetProperty hierarchy from RetentionLimits		D4D_Maintenance
d4d:VersionAccess/name	name	VersionAccess	D4D_Maintenance	skos:exactMatch	name	name	semapv:StructuralMapping	1.0	d4d:data_sheets_schema	rocrate:fairscape	string	False	str	True		Mapped via DatasetProperty hierarchy from VersionAccess		D4D_Maintenance
d4d:VersionAccess/description	description	VersionAccess	D4D_Maintenance	skos:exactMatch	description	description	semapv:StructuralMapping	1.0	d4d:data_sheets_schema	rocrate:fairscape	string	False	str	True		Mapped via DatasetProperty hierarchy from VersionAccess		D4D_Maintenance
d4d:ExtensionMechanism/name	name	ExtensionMechanism	D4D_Maintenance	skos:exactMatch	name	name	semapv:StructuralMapping	1.0	d4d:data_sheets_schema	rocrate:fairscape	string	False	str	True		Mapped via DatasetProperty hierarchy from ExtensionMechanism		D4D_Maintenance
d4d:ExtensionMechanism/description	description	ExtensionMechanism	D4D_Maintenance	skos:exactMatch	description	description	semapv:StructuralMapping	1.0	d4d:data_sheets_schema	rocrate:fairscape	string	False	str	True		Mapped via DatasetProperty hierarchy from ExtensionMechanism		D4D_Maintenance
d4d:EthicalReview/name	name	EthicalReview	D4D_Ethics	skos:exactMatch	name	name	semapv:StructuralMapping	1.0	d4d:data_sheets_schema	rocrate:fairscape	string	False	str	True		Mapped via DatasetProperty hierarchy from EthicalReview		D4D_Ethics
